ID,YEAR,DAY_OF_MONTH,FL_DATE,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,ARR_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,ORIGIN_TIMEZONE_CODE,DEP_TIME_UTC_MS,DEST_TIMEZONE_CODE,ARR_TIME_UTC_MS_TMP,ARR_TIME_UTC_MS,TIME_TAKEN,DELAY
704,2012,23,1/23/2012,19805,AA,59,12478,JFK,New York,NY,SFO,San Francisco,CA,1214,2010,296,277,2475,America/New_York,1.32734E+12,America/Los_Angeles,1.32738E+12,1.32738E+12,656,-360
708,2012,27,1/27/2012,19805,AA,59,12478,JFK,New York,NY,SFO,San Francisco,CA,1214,2010,296,277,2475,America/New_York,1.32768E+12,America/Los_Angeles,1.32772E+12,1.32772E+12,656,-360
843,2012,21,1/21/2012,19805,AA,85,12478,JFK,New York,NY,SFO,San Francisco,CA,1214,2010,296,277,2475,America/New_York,1.32717E+12,America/Los_Angeles,1.32721E+12,1.32721E+12,656,-360
929,2012,15,1/15/2012,19805,AA,117,12478,JFK,New York,NY,LAX,Los Angeles,CA,1214,2010,296,277,2475,America/New_York,1.32665E+12,America/Los_Angeles,1.32669E+12,1.32669E+12,656,-360
935,2012,21,1/21/2012,19805,AA,117,12478,JFK,New York,NY,LAX,Los Angeles,CA,1214,2010,296,277,2475,America/New_York,1.32717E+12,America/Los_Angeles,1.32721E+12,1.32721E+12,656,-360
1039,2012,2,1/2/2012,19805,AA,127,12478,JFK,New York,NY,SAN,San Diego,CA,1214,2010,296,277,2475,America/New_York,1.32552E+12,America/Los_Angeles,1.32556E+12,1.32556E+12,656,-360
1054,2012,17,1/17/2012,19805,AA,127,12478,JFK,New York,NY,SAN,San Diego,CA,1214,2010,296,277,2475,America/New_York,1.32682E+12,America/Los_Angeles,1.32686E+12,1.32686E+12,656,-360
1089,2012,21,1/21/2012,19805,AA,133,12478,JFK,New York,NY,LAX,Los Angeles,CA,1214,2010,296,277,2475,America/New_York,1.32717E+12,America/Los_Angeles,1.32721E+12,1.32721E+12,656,-360
1331,2012,16,1/16/2012,19805,AA,177,12478,JFK,New York,NY,SFO,San Francisco,CA,1214,2010,296,277,2475,America/New_York,1.32673E+12,America/Los_Angeles,1.32677E+12,1.32677E+12,656,-360
1367,2012,21,1/21/2012,19805,AA,179,12478,JFK,New York,NY,SFO,San Francisco,CA,1214,2010,296,277,2475,America/New_York,1.32717E+12,America/Los_Angeles,1.32721E+12,1.32721E+12,656,-360
2210,2012,18,1/18/2012,19805,AA,269,12478,JFK,New York,NY,SEA,Seattle,WA,1214,2010,296,277,2475,America/New_York,1.32691E+12,America/Los_Angeles,1.32695E+12,1.32695E+12,656,-360
62267,2012,12,1/12/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1523,1832,189,171,1693,America/Barbados,1.3264E+12,America/New_York,1.32641E+12,1.32641E+12,249,-60
62839,2012,13,1/13/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1532,1840,188,171,1693,America/Barbados,1.32648E+12,America/New_York,1.3265E+12,1.3265E+12,248,-60
63364,2012,14,1/14/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1551,1851,180,163,1693,America/Barbados,1.32657E+12,America/New_York,1.32659E+12,1.32659E+12,240,-60
66803,2012,20,1/20/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1543,1915,212,184,1693,America/Barbados,1.32709E+12,America/New_York,1.3271E+12,1.3271E+12,272,-60
68485,2012,23,1/23/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1514,1819,185,171,1693,America/Barbados,1.32735E+12,America/New_York,1.32736E+12,1.32736E+12,245,-60
70126,2012,26,1/26/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1458,1818,200,180,1693,America/Barbados,1.3276E+12,America/New_York,1.32762E+12,1.32762E+12,260,-60
70721,2012,27,1/27/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1606,1928,202,181,1693,America/Barbados,1.32769E+12,America/New_York,1.32771E+12,1.32771E+12,262,-60
71229,2012,28,1/28/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1518,1822,184,165,1693,America/Barbados,1.32778E+12,America/New_York,1.32779E+12,1.32779E+12,244,-60
71810,2012,29,1/29/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1810,175,160,1693,America/Barbados,1.32786E+12,America/New_York,1.32788E+12,1.32788E+12,235,-60
72401,2012,30,1/30/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1822,187,170,1693,America/Barbados,1.32795E+12,America/New_York,1.32797E+12,1.32797E+12,247,-60
548400,2012,12,1/12/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1523,1832,189,171,1693,America/Barbados,1.3264E+12,America/New_York,1.32641E+12,1.32641E+12,249,-60
548972,2012,13,1/13/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1532,1840,188,171,1693,America/Barbados,1.32648E+12,America/New_York,1.3265E+12,1.3265E+12,248,-60
549497,2012,14,1/14/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1551,1851,180,163,1693,America/Barbados,1.32657E+12,America/New_York,1.32659E+12,1.32659E+12,240,-60
552936,2012,20,1/20/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1543,1915,212,184,1693,America/Barbados,1.32709E+12,America/New_York,1.3271E+12,1.3271E+12,272,-60
554618,2012,23,1/23/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1514,1819,185,171,1693,America/Barbados,1.32735E+12,America/New_York,1.32736E+12,1.32736E+12,245,-60
556259,2012,26,1/26/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1458,1818,200,180,1693,America/Barbados,1.3276E+12,America/New_York,1.32762E+12,1.32762E+12,260,-60
556854,2012,27,1/27/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1606,1928,202,181,1693,America/Barbados,1.32769E+12,America/New_York,1.32771E+12,1.32771E+12,262,-60
557362,2012,28,1/28/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1518,1822,184,165,1693,America/Barbados,1.32778E+12,America/New_York,1.32779E+12,1.32779E+12,244,-60
557943,2012,29,1/29/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1810,175,160,1693,America/Barbados,1.32786E+12,America/New_York,1.32788E+12,1.32788E+12,235,-60
558534,2012,30,1/30/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1822,187,170,1693,America/Barbados,1.32795E+12,America/New_York,1.32797E+12,1.32797E+12,247,-60
1034533,2012,12,1/12/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1523,1832,189,171,1693,America/Barbados,1.3264E+12,America/New_York,1.32641E+12,1.32641E+12,249,-60
1035105,2012,13,1/13/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1532,1840,188,171,1693,America/Barbados,1.32648E+12,America/New_York,1.3265E+12,1.3265E+12,248,-60
1035630,2012,14,1/14/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1551,1851,180,163,1693,America/Barbados,1.32657E+12,America/New_York,1.32659E+12,1.32659E+12,240,-60
1039069,2012,20,1/20/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1543,1915,212,184,1693,America/Barbados,1.32709E+12,America/New_York,1.3271E+12,1.3271E+12,272,-60
1040751,2012,23,1/23/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1514,1819,185,171,1693,America/Barbados,1.32735E+12,America/New_York,1.32736E+12,1.32736E+12,245,-60
1042392,2012,26,1/26/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1458,1818,200,180,1693,America/Barbados,1.3276E+12,America/New_York,1.32762E+12,1.32762E+12,260,-60
1042987,2012,27,1/27/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1606,1928,202,181,1693,America/Barbados,1.32769E+12,America/New_York,1.32771E+12,1.32771E+12,262,-60
1043495,2012,28,1/28/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1518,1822,184,165,1693,America/Barbados,1.32778E+12,America/New_York,1.32779E+12,1.32779E+12,244,-60
1044076,2012,29,1/29/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1810,175,160,1693,America/Barbados,1.32786E+12,America/New_York,1.32788E+12,1.32788E+12,235,-60
1044667,2012,30,1/30/2012,20409,B6,808,15024,STT,Charlotte Amalie,VI,BOS,Boston,MA,1515,1822,187,170,1693,America/Barbados,1.32795E+12,America/New_York,1.32797E+12,1.32797E+12,247,-60
180,2012,23,1/23/2012,19805,AA,6,13830,OGG,Kahului,HI,DFW,Dallas/Fort Worth,TX,1214,2010,296,277,2475,Pacific/Honolulu,1.32736E+12,America/Chicago,1.32737E+12,1.32737E+12,236,60
